"MONTH YEAR","Provider Code","Entity Type",Type,"Contract Type","Contract Phase","Credit Limit / Financed Amount","Loan Application Amount",Count,Mean,Median
"August 2023",CC000032,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"242,843,510",0,"1,783","136,199","50,000"
"July 2023",CC000101,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"627,186,446",0,"3,920","159,997","100,000"
"May 2023",CC000201,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"210,380,000",0,"1,244","169,116","100,000"
"September 2023",CC000222,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"90,000",0,1,"90,000","90,000"
"May 2023",CC000282,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"2,147,483,647",0,"41,782","160,387","83,000"
"July 2023",CC000301,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"1,483,330,197",0,"8,586","172,761","100,000"
"September 2023",CC000491,"Credit Card Issuer",INSTALLMENT,"Salary loan",Requested,0,0,4,0,0
"June 2023",CO003910,Cooperative,INSTALLMENT,"Salary loan",Active,"66,223,700",0,305,"217,127","200,000"
"August 2023",CO004770,Cooperative,INSTALLMENT,"Personal Loan",Active,"939,141",0,12,"78,262","50,020"
"May 2023",CO005470,Cooperative,INSTALLMENT,"Business Loan",Active,"10,615,050",0,283,"37,509","24,680"
"September 2023",CO005620,Cooperative,INSTALLMENT,"Salary loan",Active,"4,145,000",0,13,"318,846","295,000"
"July 2023",CO005710,Cooperative,INSTALLMENT,"Business Loan",Active,"2,840,000",0,15,"189,333","200,000"
"June 2023",CO005790,Cooperative,INSTALLMENT,"Salary loan",Active,"177,300",0,7,"25,329","20,900"
"June 2023",CO005970,Cooperative,INSTALLMENT,"Benefit Loan",Active,"1,787,300",0,15,"119,153","100,000"
"August 2023",CO006090,Cooperative,INSTALLMENT,"Provident Loan",Active,"63,897,000",0,378,"169,040","188,500"
"May 2023",CO006350,Cooperative,INSTALLMENT,"Provident Loan",Active,"15,280,000",0,153,"99,869","61,000"
"August 2023",CO006440,Cooperative,INSTALLMENT,"Personal Loan",Active,"507,620",0,13,"39,048","34,000"
"August 2023",CO006720,Cooperative,NON-INSTALLMENT,"SWAP Loan",Active,"301,443",0,13,"23,188","10,035"
"June 2023",CO006860,Cooperative,INSTALLMENT,"Salary loan",Active,"8,345,000",0,93,"89,731","30,000"
"August 2023",CO007010,Cooperative,INSTALLMENT,"Personal Loan",Active,"3,017,900",0,16,"188,619","14,850"
"August 2023",CO007100,Cooperative,NON-INSTALLMENT,"SWAP Loan",Active,"12,068,110",0,133,"90,738","50,000"
"May 2023",CO007140,Cooperative,INSTALLMENT,"Provident Loan",Active,"20,000",0,1,"20,000","20,000"
"August 2023",CO007210,Cooperative,INSTALLMENT,"Agricultural Loan",Active,"375,000",0,8,"46,875","40,000"
"September 2023",CO007270,Cooperative,INSTALLMENT,"Salary loan",Active,"9,460,000",0,107,"88,411","80,000"
"June 2023",CO007300,Cooperative,INSTALLMENT,"Home equity loan",Active,"1,785,000",0,9,"198,333","220,000"
"August 2023",CO007340,Cooperative,INSTALLMENT,"Personal Loan",Active,"294,000",0,19,"15,474","20,000"
"September 2023",CO007370,Cooperative,INSTALLMENT,"Personal Loan",Active,"515,000",0,5,"103,000","100,000"
"May 2023",CO007510,Cooperative,INSTALLMENT,"Personal Loan",Active,"13,935,610",0,248,"56,192","25,000"
"August 2023",CO008100,Cooperative,INSTALLMENT,"Personal Loan",Active,"1,584,500",0,54,"29,343","18,000"
"September 2023",CO008290,Cooperative,INSTALLMENT,"Salary loan",Active,"170,000",0,5,"34,000","30,000"
"June 2023",CO008440,Cooperative,INSTALLMENT,"Vehicle Loan",Active,"936,000",0,1,"936,000","936,000"
"September 2023",CO008530,Cooperative,INSTALLMENT,"Business Loan",Active,"2,390,000",0,10,"239,000","155,000"
"June 2023",CO008600,Cooperative,INSTALLMENT,"Salary loan",Active,"5,067,809",0,153,"33,123","30,000"
"August 2023",CO008660,Cooperative,INSTALLMENT,"Personal Loan",Active,"2,003,400",0,73,"27,444","17,000"
"September 2023",CO008790,Cooperative,INSTALLMENT,"Personal Loan",Active,"352,957",0,3,"117,652","111,732"
"June 2023",CO009130,Cooperative,INSTALLMENT,"Short Term Loan",Active,"4,187,846",0,346,"12,104","9,600"
"September 2023",CO009150,Cooperative,INSTALLMENT,"Provident Loan",Active,"47,000",0,3,"15,667","12,000"
"August 2023",CO009300,Cooperative,INSTALLMENT,"Term Loan",Closed,"50,000",0,2,"25,000","25,000"
"June 2023",CO009390,Cooperative,INSTALLMENT,"Personal Loan",Active,"13,931,800",0,99,"140,725","55,000"
"September 2023",CO009400,Cooperative,INSTALLMENT,"Student Loan",Active,"2,781,314",0,31,"89,720","100,000"
"August 2023",CO009470,Cooperative,INSTALLMENT,"Personal Loan",Active,"10,887,567",0,89,"122,332","90,000"
"June 2023",CO009480,Cooperative,INSTALLMENT,"Personal Loan",Active,"13,221,100",0,183,"72,246","44,500"
"September 2023",CO009590,Cooperative,INSTALLMENT,"Personal Loan",Active,"5,976,200",0,211,"28,323","11,300"
"August 2023",CO009600,Cooperative,INSTALLMENT,"Benefit Loan",Closed,"26,800",0,1,"26,800","26,800"
"June 2023",CO009630,Cooperative,INSTALLMENT,"Loan Line",Active,"394,400,000",0,56,"7,042,857","3,150,000"
"August 2023",CO010040,Cooperative,INSTALLMENT,"Personal Loan",Active,"2,967,750",0,86,"34,509","14,900"
"September 2023",CO010160,Cooperative,INSTALLMENT,"Provident Loan",Active,"32,045,300",0,24,"1,335,221","1,400,000"
"June 2023",CO010200,Cooperative,INSTALLMENT,"Short Term Loan",Active,"230,000",0,8,"28,750","27,000"
"August 2023",CO010250,Cooperative,INSTALLMENT,"Personal Loan",Active,"1,328,000",0,4,"332,000","282,500"
"September 2023",CO010320,Cooperative,INSTALLMENT,"Business Loan",Active,"78,400",0,9,"8,711","9,500"
"May 2023",CO010370,Cooperative,INSTALLMENT,"Salary loan",Active,"60,000",0,1,"60,000","60,000"
"July 2023",CO010460,Cooperative,INSTALLMENT,"Student Loan",Active,"265,000",0,3,"88,333","45,000"
"May 2023",CO010580,Cooperative,INSTALLMENT,"Business Loan",Active,"8,792,712",0,8,"1,099,089","1,032,210"
"September 2023",CO010640,Cooperative,INSTALLMENT,"Salary loan",Active,"237,068",0,3,"79,023","50,000"
"August 2023",CO010710,Cooperative,INSTALLMENT,"Personal Loan",Active,"823,008",0,79,"10,418","2,000"
"May 2023",CO010920,Cooperative,INSTALLMENT,"Personal Loan",Active,"702,885,678",0,"2,918","240,879","164,487"
"August 2023",CO011020,Cooperative,INSTALLMENT,"Personal Loan",Active,"3,976,900",0,243,"16,366","11,500"
"September 2023",CO011100,Cooperative,INSTALLMENT,"Equipment leasing",Active,"930,000",0,33,"28,182","30,000"
"August 2023",CO011140,Cooperative,INSTALLMENT,"Agricultural Loan",Active,"2,368,200",0,50,"47,364","28,500"
"June 2023",CO011160,Cooperative,INSTALLMENT,"Short Term Loan",Active,"95,000",0,1,"95,000","95,000"
"September 2023",CO011190,Cooperative,INSTALLMENT,"Salary loan",Active,"1,152,700",0,127,"9,076","5,000"
"August 2023",CO011270,Cooperative,INSTALLMENT,"Loan Line",Active,"5,853,600",0,108,"54,200","20,500"
"September 2023",CO011450,Cooperative,INSTALLMENT,"Business Loan",Active,"11,532,518",0,308,"37,443","18,894"
"August 2023",CO011640,Cooperative,INSTALLMENT,"Personal Loan",Active,"2,635,000",0,3,"878,333","535,000"
"June 2023",CO011790,Cooperative,INSTALLMENT,"Personal Loan",Active,"335,500",0,25,"13,420","12,000"
"August 2023",CO011800,Cooperative,INSTALLMENT,"Business Loan",Requested,0,"300,150",2,0,0
"September 2023",CO011850,Cooperative,INSTALLMENT,"Personal Loan",Active,"18,353,181",0,154,"119,177","73,565"
"June 2023",CO011890,Cooperative,INSTALLMENT,"Salary loan",Requested,0,"40,186,000",48,0,0
"August 2023",CO011940,Cooperative,INSTALLMENT,"Salary loan",Active,"30,000",0,1,"30,000","30,000"
"July 2023",CO012060,Cooperative,INSTALLMENT,"Provident Loan",Active,"10,770,101",0,74,"145,542","50,000"
"May 2023",CO012100,Cooperative,INSTALLMENT,"Benefit Loan",Active,"1,387,100",0,73,"19,001","12,800"
"September 2023",CO012160,Cooperative,INSTALLMENT,"Business Loan",Active,"2,535,914",0,40,"63,398","31,000"
"August 2023",CO012170,Cooperative,INSTALLMENT,"Personal Loan",Active,"13,113,178",0,144,"91,064","22,988"
"May 2023",CO012290,Cooperative,INSTALLMENT,"Business Loan",Active,"64,958,417",0,568,"114,363","50,000"
"September 2023",CO012390,Cooperative,INSTALLMENT,"Business Loan",Active,"7,869,618",0,159,"49,494","27,000"
"August 2023",CO012600,Cooperative,INSTALLMENT,"Personal Loan",Active,"2,766,770",0,16,"172,923","92,500"
"June 2023",CO012620,Cooperative,INSTALLMENT,"Short Term Loan",Active,"5,406,000",0,94,"57,511","30,000"
"August 2023",CO012630,Cooperative,INSTALLMENT,"Salary loan",Active,"70,714,910",0,"1,634","43,277","9,000"
"July 2023",CO012730,Cooperative,INSTALLMENT,"Short Term Loan",Active,"1,423,000",0,20,"71,150","50,000"
"June 2023",CO012750,Cooperative,INSTALLMENT,"Personal Loan",Active,"1,523,100",0,24,"63,463","30,000"
"September 2023",CO012820,Cooperative,INSTALLMENT,"Business Loan",Active,"9,349,500",0,16,"584,344","270,000"
"August 2023",CO012970,Cooperative,INSTALLMENT,"Business Loan",Requested,0,0,1,0,0
"June 2023",CO013060,Cooperative,INSTALLMENT,"Personal Loan",Active,"93,000",0,4,"23,250","26,500"
"July 2023",CO013190,Cooperative,INSTALLMENT,"Provident Loan",Active,"2,009,907",0,27,"74,441","59,000"
"September 2023",CO013230,Cooperative,INSTALLMENT,"Business Loan",Active,"65,486,039",0,498,"131,498","60,000"
"July 2023",CO013240,Cooperative,INSTALLMENT,"Salary loan",Active,"55,576,908",0,539,"103,111","60,000"
"September 2023",CO013270,Cooperative,INSTALLMENT,"Short Term Loan",Active,"145,000",0,5,"29,000","30,000"
"August 2023",CO013310,Cooperative,INSTALLMENT,"Business Loan","Closed in advance","1,588,000",0,2,"794,000","794,000"
"September 2023",CO013400,Cooperative,INSTALLMENT,"Benefit Loan",Active,"678,500",0,82,"8,274","5,000"
"May 2023",CO013530,Cooperative,INSTALLMENT,"Personal Loan",Active,"2,270,800",0,89,"25,515","15,000"
"July 2023",CO013610,Cooperative,INSTALLMENT,"Business Loan",Active,"35,000",0,1,"35,000","35,000"
"June 2023",CO013620,Cooperative,INSTALLMENT,"Personal Loan",Active,"1,618,030",0,60,"26,967","14,770"
"June 2023",CO013660,Cooperative,INSTALLMENT,"Short Term Loan",Active,"50,000",0,1,"50,000","50,000"
"September 2023",CO013670,Cooperative,INSTALLMENT,"Benefit Loan",Active,"1,092,683",0,920,"1,188",250
"August 2023",CO013790,Cooperative,INSTALLMENT,"Personal Loan",Active,"67,000",0,10,"6,700","8,000"
"June 2023",CO013890,Cooperative,INSTALLMENT,"Personal Loan",Active,"172,700",0,8,"21,588","17,500"
"September 2023",CO013980,Cooperative,INSTALLMENT,"Student Loan",Active,"50,000",0,1,"50,000","50,000"
"September 2023",CO014040,Cooperative,INSTALLMENT,"Student Loan",Active,"39,500",0,9,"4,389","5,000"
"August 2023",CO014180,Cooperative,INSTALLMENT,"Personal Loan",Active,"51,736,890",0,"3,097","16,705","10,000"
"September 2023",CO014250,Cooperative,INSTALLMENT,"Personal Loan",Active,"5,781,434",0,104,"55,591","28,320"
"May 2023",CO014470,Cooperative,INSTALLMENT,"Business Loan",Active,"5,213,000",0,96,"54,302","40,000"
"July 2023",CO014560,Cooperative,INSTALLMENT,"Unsecured loan",Active,"1,962,000",0,11,"178,364","165,000"
"September 2023",CO014570,Cooperative,INSTALLMENT,"Business Loan",Active,"701,607",0,166,"4,227","2,734"
"July 2023",CO014770,Cooperative,INSTALLMENT,"Salary loan",Active,"1,627,000",0,8,"203,375","225,000"
"September 2023",CO014860,Cooperative,INSTALLMENT,"Loan Line",Active,"1,012,128,785",0,"6,475","156,313","45,000"
"June 2023",CO014920,Cooperative,INSTALLMENT,"Salary loan",Active,"946,800",0,10,"94,680","67,400"
"July 2023",CO014990,Cooperative,INSTALLMENT,"Term Loan",Active,"6,707,000",0,66,"101,621","10,000"
"September 2023",CO015160,Cooperative,INSTALLMENT,"Business Loan",Active,"6,705,500",0,90,"74,506","46,900"
"May 2023",CO015220,Cooperative,INSTALLMENT,"Provident Loan",Active,"94,000",0,1,"94,000","94,000"
"June 2023",CO015830,Cooperative,INSTALLMENT,"Student Loan",Active,"30,000",0,3,"10,000","10,000"
"September 2023",CO015870,Cooperative,INSTALLMENT,"Business Loan",Active,"1,605,000",0,21,"76,429","60,000"
"June 2023",CO016370,Cooperative,INSTALLMENT,"Short Term Loan",Active,"41,500",0,3,"13,833","15,000"
"August 2023",CO016440,Cooperative,INSTALLMENT,"Personal Loan",Active,"500,000",0,16,"31,250","20,000"
"September 2023",CO016540,Cooperative,INSTALLMENT,"Business Loan",Active,"14,583,050",0,412,"35,396","25,000"
"September 2023",CO016550,Cooperative,INSTALLMENT,"Salary loan",Active,"41,961,129",0,259,"162,012","120,000"
"June 2023",CO016740,Cooperative,INSTALLMENT,"Salary loan",Active,"218,000",0,1,"218,000","218,000"
"July 2023",CO016850,Cooperative,INSTALLMENT,"Unsecured loan",Active,"305,000",0,12,"25,417","20,000"
"September 2023",CO017140,Cooperative,INSTALLMENT,"Business Loan",Active,"1,040,000",0,4,"260,000","15,000"
"June 2023",CO017150,Cooperative,INSTALLMENT,"Salary loan",Active,"513,000",0,15,"34,200","20,000"
"August 2023",CO017250,Cooperative,INSTALLMENT,"Personal Loan",Active,"5,928,282",0,117,"50,669","37,870"
"September 2023",CO017260,Cooperative,INSTALLMENT,"Student Loan",Active,"354,500",0,8,"44,313","33,500"
"July 2023",CO017370,Cooperative,INSTALLMENT,"Term Loan",Active,"263,800",0,4,"65,950","51,900"
"August 2023",CO017520,Cooperative,INSTALLMENT,"Business Loan",Active,"846,105",0,36,"23,503","5,584"
"June 2023",CO017600,Cooperative,INSTALLMENT,"Salary loan",Active,"1,600,000",0,29,"55,172","50,000"
"July 2023",CO017640,Cooperative,INSTALLMENT,"Business Loan",Active,"1,630,000",0,16,"101,875","22,500"
"September 2023",CO017720,Cooperative,NON-INSTALLMENT,"SWAP Loan",Active,"5,928,087",0,408,"14,530","6,000"
"June 2023",CO017890,Cooperative,INSTALLMENT,"Salary loan",Active,"2,445,000",0,14,"174,643","195,000"
"August 2023",CO017960,Cooperative,INSTALLMENT,"Personal Loan",Active,"21,325",0,3,"7,108","6,600"
"June 2023",CO018040,Cooperative,INSTALLMENT,"Salary loan",Active,"1,292,500",0,24,"53,854","43,700"
"September 2023",CO018100,Cooperative,INSTALLMENT,"Business Loan",Active,"95,000",0,5,"19,000","20,000"
"August 2023",CO018240,Cooperative,INSTALLMENT,"Agricultural Loan",Active,"958,750",0,25,"38,350","30,000"
"September 2023",CO018630,Cooperative,INSTALLMENT,"Salary loan",Active,"38,346,000",0,835,"45,923","30,000"
"August 2023",CO018670,Cooperative,INSTALLMENT,"Agricultural Loan",Active,"25,773,855",0,210,"122,733","110,500"
"September 2023",CO019310,Cooperative,INSTALLMENT,"Term Loan",Active,"2,695,000",0,25,"107,800","110,000"
"June 2023",GF001060,"Government Financing",NON-INSTALLMENT,"Credit Line",Requested,0,"300,000,000",1,0,0
"August 2023",GF003590,"Government Financing",INSTALLMENT,"Salary loan",Active,"2,147,483,647",0,"33,455","205,612","108,310"
"May 2023",GF011040,"Government Financing",INSTALLMENT,"Term Loan",Active,"458,934,751",0,9,"50,992,750","20,620,201"
"August 2023",IS000094,Insurance,INSTALLMENT,"Mortgage/Real Estate",Active,"2,895,579",0,1,"2,895,579","2,895,579"
"July 2023",IS009350,Insurance,INSTALLMENT,"Salary loan",Active,"1,700,000",0,1,"1,700,000","1,700,000"
"September 2023",IS010850,Insurance,NON-INSTALLMENT,"Credit Line",Requested,0,"250,000,000",2,0,0
"June 2023",IS010860,Insurance,INSTALLMENT,"Trust Loan",Active,"2,147,483,647",0,1,"4,830,000,000","4,830,000,000"
"May 2023",IS011720,Insurance,INSTALLMENT,"Personal Loan",Active,"157,358,700",0,"2,112","74,507","70,000"
"September 2023",IS012330,Insurance,INSTALLMENT,"Salary loan",Active,"21,917,000",0,144,"152,201","104,500"
"May 2023",IS012420,Insurance,INSTALLMENT,"Personal Loan",Active,"563,342,009",0,"3,139","179,465","150,000"
"July 2023",IS014350,Insurance,INSTALLMENT,"Salary loan",Active,"12,401,000",0,50,"248,020","210,000"
"May 2023",LS000086,Leasing,INSTALLMENT,"Term Loan",Active,"139,653,660",0,52,"2,685,647","2,687,057"
"September 2023",LS000303,Leasing,INSTALLMENT,"Equipment leasing",Active,"101,640,802",0,7,"14,520,115","10,091,935"
"May 2023",LS000352,Leasing,INSTALLMENT,"Equipment leasing",Active,"57,020,245",0,6,"9,503,374","9,060,606"
"August 2023",LS002830,Leasing,INSTALLMENT,"Equipment leasing",Active,"341,997,613",0,90,"3,799,973","1,519,000"
"July 2023",LS003700,Leasing,INSTALLMENT,"Salary loan",Active,"150,000",0,1,"150,000","150,000"
"June 2023",LS004100,Leasing,INSTALLMENT,"Vehicle Loan",Active,"2,735,346",0,1,"2,735,346","2,735,346"
"September 2023",LS004110,Leasing,INSTALLMENT,"Salary loan",Active,"1,740,000",0,27,"64,444","50,000"
"May 2023",LS004240,Leasing,INSTALLMENT,"Salary loan",Active,"30,000",0,1,"30,000","30,000"
"July 2023",LS004580,Leasing,INSTALLMENT,"Equipment leasing",Active,"70,742,000",0,19,"3,723,263","3,280,000"
"September 2023",LS005780,Leasing,INSTALLMENT,"Personal Loan",Active,"579,768,698",0,"1,617","358,546","300,000"
"June 2023",LS005800,Leasing,INSTALLMENT,"Vehicle leasing",Requested,0,"3,284,736",4,0,0
"July 2023",LS005810,Leasing,INSTALLMENT,"Equipment leasing",Active,"9,389,000",0,2,"4,694,500","4,694,500"
"September 2023",LS005870,Leasing,INSTALLMENT,"Vehicle Loan",Requested,0,"184,770,000",101,0,0
"September 2023",LS006300,Leasing,INSTALLMENT,"Term Loan",Active,"2,725,332",0,78,"34,940","30,000"
"July 2023",LS006340,Leasing,INSTALLMENT,"Equipment leasing",Requested,0,"9,000,000",2,0,0
"June 2023",LS006600,Leasing,INSTALLMENT,"Term Loan",Active,"66,367,481",0,528,"125,696","84,370"
"September 2023",LS006820,Leasing,INSTALLMENT,"Business Loan",Requested,0,"100,000",2,0,0
"August 2023",LS006940,Leasing,INSTALLMENT,"Business Loan","Closed in advance","2,493,962",0,1,"2,493,962","2,493,962"
"May 2023",LS007690,Leasing,INSTALLMENT,"Vehicle Loan",Active,"86,926,335",0,149,"583,398","550,000"
"August 2023",MF005590,Microfinance,INSTALLMENT,"Agricultural Loan",Active,"441,056,350",0,"31,055","14,202","10,000"
"June 2023",MF006830,Microfinance,INSTALLMENT,"Personal Loan",Active,"119,580,414",0,"6,386","18,725","12,000"
"August 2023",MF006850,Microfinance,INSTALLMENT,"Unsecured loan",Active,"2,092,530",0,208,"10,060","7,000"
"August 2023",MF011610,Microfinance,INSTALLMENT,"Unsecured loan",Closed,"1,235,272",0,166,"7,441","5,000"
"June 2023",MF011750,Microfinance,INSTALLMENT,"Personal Loan",Active,"49,962,819",0,"3,665","13,632","10,000"
"September 2023",MF011760,Microfinance,INSTALLMENT,"Unsecured loan",Active,"172,229,696",0,"6,340","27,166","15,000"
"September 2023",MF011770,Microfinance,INSTALLMENT,"Unsecured loan",Closed,"62,000",0,3,"20,667","23,000"
"June 2023",MF012740,Microfinance,INSTALLMENT,"Unsecured loan",Active,"6,593,532",0,752,"8,768","7,000"
"August 2023",MF015120,Microfinance,INSTALLMENT,"Term Loan",Requested,0,"20,000",1,0,0
"September 2023",MF016330,Microfinance,INSTALLMENT,"Personal Loan",Active,"43,905,000",0,"3,058","14,357","10,000"
"June 2023",MF016460,Microfinance,INSTALLMENT,"Term Loan",Active,"1,800,000",0,2,"900,000","900,000"
"August 2023",MF016670,Microfinance,INSTALLMENT,"Unsecured loan",Closed,"20,000",0,2,"10,000","10,000"
"September 2023",MF016780,Microfinance,INSTALLMENT,"Unsecured loan",Active,"102,480,500",0,"8,613","11,898","10,000"
