"MONTH YEAR","Provider Code","Entity Type",Type,"Contract Type","Contract Phase","Credit Limit / Financed Amount","Loan Application Amount",Count,Mean,Median
"September 2023",CC000101,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"312,934,470",0,"1,843","169,796","100,000"
"September 2023",CC000222,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"90,000",0,1,"90,000","90,000"
"September 2023",CC000301,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"2,147,483,647",0,"92,612","234,799","140,000"
"September 2023",CC000491,"Credit Card Issuer",INSTALLMENT,"Salary loan",Requested,0,0,4,0,0
"September 2023",CO004770,Cooperative,INSTALLMENT,"Student Loan",Active,"1,364,400",0,24,"56,850","17,200"
"September 2023",CO005620,Cooperative,INSTALLMENT,"Salary loan",Active,"4,145,000",0,13,"318,846","295,000"
"September 2023",CO005790,Cooperative,INSTALLMENT,"Student Loan",Active,"157,000",0,5,"31,400","27,000"
"September 2023",CO006440,Cooperative,INSTALLMENT,"Provident Loan",Active,"26,679",0,1,"26,679","26,679"
"September 2023",CO006860,Cooperative,INSTALLMENT,"Trust Loan",Active,"76,000",0,15,"5,067","4,000"
"September 2023",CO007140,Cooperative,INSTALLMENT,"Short Term Loan",Active,"3,000",0,1,"3,000","3,000"
"September 2023",CO007210,Cooperative,INSTALLMENT,"Vehicle leasing",Active,"297,190",0,4,"74,298","77,750"
"September 2023",CO007270,Cooperative,INSTALLMENT,"Salary loan",Active,"9,460,000",0,107,"88,411","80,000"
"September 2023",CO007300,Cooperative,INSTALLMENT,"Student Loan",Active,"3,193,433",0,58,"55,059","40,164"
"September 2023",CO007340,Cooperative,INSTALLMENT,"Business Loan",Active,"2,830,000",0,92,"30,761","20,000"
"September 2023",CO007370,Cooperative,INSTALLMENT,"Personal Loan",Active,"515,000",0,5,"103,000","100,000"
"September 2023",CO008100,Cooperative,INSTALLMENT,"Personal Loan",Active,"1,682,000",0,55,"30,582","18,000"
"September 2023",CO008290,Cooperative,INSTALLMENT,"Salary loan",Active,"170,000",0,5,"34,000","30,000"
"September 2023",CO008530,Cooperative,INSTALLMENT,"Business Loan",Active,"2,390,000",0,10,"239,000","155,000"
"September 2023",CO008600,Cooperative,INSTALLMENT,"Business Loan",Active,"6,151,750",0,71,"86,644","30,000"
"September 2023",CO008660,Cooperative,INSTALLMENT,"Salary loan",Active,"45,000",0,1,"45,000","45,000"
"September 2023",CO008790,Cooperative,INSTALLMENT,"Personal Loan",Active,"352,957",0,3,"117,652","111,732"
"September 2023",CO009130,Cooperative,INSTALLMENT,"Business Loan",Active,"3,743,914",0,13,"287,993","272,000"
"September 2023",CO009150,Cooperative,INSTALLMENT,"Provident Loan",Active,"47,000",0,3,"15,667","12,000"
"September 2023",CO009300,Cooperative,INSTALLMENT,"Term Loan",Active,"5,012,201",0,112,"44,752","28,500"
"September 2023",CO009390,Cooperative,INSTALLMENT,"Provident Loan",Active,"6,610,600",0,66,"100,161","20,000"
"September 2023",CO009400,Cooperative,INSTALLMENT,"Student Loan",Active,"2,781,314",0,31,"89,720","100,000"
"September 2023",CO009470,Cooperative,INSTALLMENT,"Provident Loan",Active,"365,000",0,2,"182,500","182,500"
"September 2023",CO009480,Cooperative,INSTALLMENT,"Business Loan",Active,"53,394,600",0,122,"437,661","348,000"
"September 2023",CO009590,Cooperative,INSTALLMENT,"Personal Loan",Active,"5,976,200",0,211,"28,323","11,300"
"September 2023",CO009600,Cooperative,INSTALLMENT,"Student Loan",Active,"192,904",0,5,"38,581","34,100"
"September 2023",CO010040,Cooperative,INSTALLMENT,"Salary loan",Active,"83,000",0,3,"27,667","23,200"
"September 2023",CO010160,Cooperative,INSTALLMENT,"Provident Loan",Active,"32,045,300",0,24,"1,335,221","1,400,000"
"September 2023",CO010200,Cooperative,INSTALLMENT,"Business Loan",Active,"745,000",0,3,"248,333","250,000"
"September 2023",CO010250,Cooperative,INSTALLMENT,"Personal Loan",Active,"743,000",0,3,"247,667","150,000"
"September 2023",CO010320,Cooperative,INSTALLMENT,"Business Loan",Active,"78,400",0,9,"8,711","9,500"
"September 2023",CO010370,Cooperative,INSTALLMENT,"Business Loan",Active,"500,000",0,1,"500,000","500,000"
"September 2023",CO010580,Cooperative,INSTALLMENT,"Business Loan",Active,"378,356",0,1,"378,356","378,356"
"September 2023",CO010640,Cooperative,INSTALLMENT,"Salary loan",Active,"237,068",0,3,"79,023","50,000"
"September 2023",CO010710,Cooperative,INSTALLMENT,"Business Loan",Active,"740,000",0,5,"148,000","100,000"
"September 2023",CO011020,Cooperative,INSTALLMENT,"Vehicle leasing",Active,"264,000",0,15,"17,600","14,000"
"September 2023",CO011100,Cooperative,INSTALLMENT,"Equipment leasing",Active,"930,000",0,33,"28,182","30,000"
"September 2023",CO011160,Cooperative,INSTALLMENT,"Business Loan",Active,"6,464,000",0,49,"131,918","100,000"
"September 2023",CO011190,Cooperative,INSTALLMENT,"Salary loan",Active,"1,152,700",0,127,"9,076","5,000"
"September 2023",CO011270,Cooperative,INSTALLMENT,"Loan Line",Active,"3,736,300",0,74,"50,491","30,000"
"September 2023",CO011450,Cooperative,INSTALLMENT,"Business Loan",Active,"11,532,518",0,308,"37,443","18,894"
"September 2023",CO011800,Cooperative,INSTALLMENT,"Business Loan",Requested,0,"2,070,000",3,0,0
"September 2023",CO011850,Cooperative,INSTALLMENT,"Personal Loan",Active,"18,353,181",0,154,"119,177","73,565"
"September 2023",CO011890,Cooperative,INSTALLMENT,"Personal Loan",Active,"568,731,402",0,"12,652","44,952","14,100"
"September 2023",CO012060,Cooperative,INSTALLMENT,"Provident Loan",Active,"4,700,000",0,87,"54,023","50,000"
"September 2023",CO012100,Cooperative,INSTALLMENT,"Benefit Loan",Active,"459,500",0,25,"18,380","16,600"
"September 2023",CO012160,Cooperative,INSTALLMENT,"Business Loan",Active,"2,535,914",0,40,"63,398","31,000"
"September 2023",CO012170,Cooperative,INSTALLMENT,"Personal Loan",Active,"11,557,771",0,207,"55,835","17,800"
"September 2023",CO012290,Cooperative,INSTALLMENT,"Business Loan",Active,"29,611,741",0,225,"131,608","50,000"
"September 2023",CO012390,Cooperative,INSTALLMENT,"Business Loan",Active,"7,869,618",0,159,"49,494","27,000"
"September 2023",CO012600,Cooperative,INSTALLMENT,"Personal Loan",Active,"3,055,000",0,22,"138,864","77,000"
"September 2023",CO012620,Cooperative,INSTALLMENT,"Short Term Loan",Active,"6,010,000",0,90,"66,778","30,000"
"September 2023",CO012750,Cooperative,INSTALLMENT,"Business Loan",Active,"70,000",0,1,"70,000","70,000"
"September 2023",CO012820,Cooperative,INSTALLMENT,"Business Loan",Active,"9,349,500",0,16,"584,344","270,000"
"September 2023",CO012970,Cooperative,INSTALLMENT,"Business Loan",Requested,0,0,1,0,0
"September 2023",CO013230,Cooperative,INSTALLMENT,"Business Loan",Active,"65,486,039",0,498,"131,498","60,000"
"September 2023",CO013240,Cooperative,INSTALLMENT,"Salary loan",Active,"126,003,655",0,"1,122","112,303","70,000"
"September 2023",CO013270,Cooperative,INSTALLMENT,"Short Term Loan",Active,"145,000",0,5,"29,000","30,000"
"September 2023",CO013310,Cooperative,INSTALLMENT,"Business Loan",Active,"8,846,800",0,66,"134,042","60,600"
"September 2023",CO013400,Cooperative,INSTALLMENT,"Benefit Loan",Active,"678,500",0,82,"8,274","5,000"
"September 2023",CO013610,Cooperative,INSTALLMENT,"Salary loan",Active,"1,901,900",0,86,"22,115","14,500"
"September 2023",CO013670,Cooperative,INSTALLMENT,"Benefit Loan",Active,"1,092,683",0,920,"1,188",250
"September 2023",CO013790,Cooperative,INSTALLMENT,"Student Loan",Active,"90,000",0,3,"30,000","30,000"
"September 2023",CO013980,Cooperative,INSTALLMENT,"Student Loan",Active,"50,000",0,1,"50,000","50,000"
"September 2023",CO014040,Cooperative,INSTALLMENT,"Student Loan",Active,"39,500",0,9,"4,389","5,000"
"September 2023",CO014250,Cooperative,INSTALLMENT,"Personal Loan",Active,"5,781,434",0,104,"55,591","28,320"
"September 2023",CO014470,Cooperative,INSTALLMENT,"Business Loan",Active,"6,308,000",0,108,"58,407","45,000"
"September 2023",CO014560,Cooperative,INSTALLMENT,"Unsecured loan",Active,"1,097,000",0,8,"137,125","112,000"
"September 2023",CO014570,Cooperative,INSTALLMENT,"Business Loan",Active,"701,607",0,166,"4,227","2,734"
"September 2023",CO014770,Cooperative,INSTALLMENT,"Provident Loan",Active,"50,000",0,1,"50,000","50,000"
"September 2023",CO014860,Cooperative,INSTALLMENT,"Loan Line",Active,"1,012,128,785",0,"6,475","156,313","45,000"
"September 2023",CO014920,Cooperative,INSTALLMENT,"Business Loan",Active,"509,000",0,5,"101,800","70,000"
"September 2023",CO014990,Cooperative,INSTALLMENT,"Term Loan",Active,"11,715,000",0,101,"115,990","35,000"
"September 2023",CO015160,Cooperative,INSTALLMENT,"Business Loan",Active,"6,705,500",0,90,"74,506","46,900"
"September 2023",CO015220,Cooperative,INSTALLMENT,"Business Loan",Active,"35,000",0,1,"35,000","35,000"
"September 2023",CO015870,Cooperative,INSTALLMENT,"Business Loan",Active,"1,605,000",0,21,"76,429","60,000"
"September 2023",CO016370,Cooperative,INSTALLMENT,"Business Loan",Active,"1,201,000",0,17,"70,647","40,000"
"September 2023",CO016440,Cooperative,INSTALLMENT,"Business Loan",Active,"19,934,700",0,298,"66,895","40,000"
"September 2023",CO016540,Cooperative,INSTALLMENT,"Business Loan",Active,"14,583,050",0,412,"35,396","25,000"
"September 2023",CO016550,Cooperative,INSTALLMENT,"Salary loan",Active,"41,961,129",0,259,"162,012","120,000"
