"MONTH YEAR","Provider Code","Entity Type",Type,"Contract Type","Contract Phase","Credit Limit / Financed Amount","Loan Application Amount",Count,Mean,Median
"January 2024",CC000032,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"114,982,030",0,651,"176,624","50,000"
"January 2024",CC000201,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"104,831,000",0,773,"135,616","100,000"
"January 2024",CC000222,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"2,579,000",0,7,"368,429","100,000"
"January 2024",CC000282,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"2,147,483,647",0,"14,464","211,218","100,000"
"January 2024",CC000301,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"2,147,483,647",0,"32,250","274,178","209,000"
"January 2024",CC000491,"Credit Card Issuer","CREDIT CARD","Credit Card - MultiCurrency",Active,"10,000",0,2,"5,000","5,000"
"January 2024",CO000950,Cooperative,NON-INSTALLMENT,"SWAP Loan",Active,"12,750,000",0,1,"12,750,000","12,750,000"
"January 2024",CO003910,Cooperative,INSTALLMENT,"Benefit Loan",Active,"11,439,600",0,500,"22,879","23,000"
"January 2024",CO004770,Cooperative,INSTALLMENT,"Student Loan",Active,"412,239",0,13,"31,711","25,000"
"January 2024",CO004950,Cooperative,INSTALLMENT,"Business Loan",Active,"9,526,100",0,85,"112,072","50,000"
"January 2024",CO005620,Cooperative,INSTALLMENT,"Salary loan",Active,"1,985,000",0,7,"283,571","235,000"
"January 2024",CO005790,Cooperative,INSTALLMENT,"Student Loan",Active,"55,000",0,2,"27,500","27,500"
"January 2024",CO006410,Cooperative,INSTALLMENT,"Business Loan",Active,"3,023,520",0,101,"29,936","25,000"
"January 2024",CO006440,Cooperative,INSTALLMENT,"Provident Loan",Active,"30,000",0,1,"30,000","30,000"
"January 2024",CO006470,Cooperative,INSTALLMENT,"Benefit Loan",Active,"3,707,174",0,20,"185,359","57,633"
"January 2024",CO006610,Cooperative,INSTALLMENT,"Short Term Loan",Active,"150,000",0,10,"15,000","15,000"
"January 2024",CO006720,Cooperative,NON-INSTALLMENT,"SWAP Loan",Active,"417,000",0,5,"83,400","70,000"
"January 2024",CO006860,Cooperative,INSTALLMENT,"Trust Loan",Active,"79,000",0,14,"5,643","5,250"
"January 2024",CO006990,Cooperative,NON-INSTALLMENT,"SWAP Loan",Active,"19,578,100",0,"2,291","8,546","3,800"
"January 2024",CO007140,Cooperative,INSTALLMENT,"Short Term Loan",Active,"45,000",0,9,"5,000","5,000"
"January 2024",CO007210,Cooperative,INSTALLMENT,"Vehicle leasing",Active,"1,707,500",0,3,"569,167","57,500"
